Alignment ID,Muña1,Muña1,Inkamuñ1,Inkamuña2
175,-4.86685,-4.84738,-5.05009,-5.15124
177,-4.52878,-4.35404,-4.89527,-4.90986
178,-5.30734,-5.01995,-6.07501,-5.76773
179,-3.76621,-3.64244,-4.19137,-4.21617
180,-3.7552,-3.67162,-4.07323,-4.19966
183,-3.29841,-3.49319,-3.7316,-3.75569
184,-4.88294,-4.97018,-4.85846,-4.84478
185,-6.02762,-6.02762,-6.02762,-5.02762
189,-6.03684,-6.03684,-5.03684,-6.03684
195,-2.61647,-2.8128,-2.94307,-2.87154
196,-2.61546,-2.87015,-2.98744,-2.97995
197,-3.73842,-3.71522,-2.95989,-2.8109
198,-3.55366,-3.22934,-3.6042,-3.57285
199,-3.10234,-3.1787,-3.02279,-2.95072
201,-4.563,-6.64653,-5.28141,-6.64653
206,-5.9917,-5.9917,-4.9917,-5.9917
211,-4.6504,-6.17887,-5.17887,-6.17887
212,-3.64001,-3.50971,-3.69457,-3.63151
213,-3.68122,-3.84814,-3.70733,-3.64368
215,-3.58142,-3.60113,-3.83763,-3.73849
218,-5.87262,-5.87262,-5.87262,-4.87262
231,-6.21104,-6.21104,-5.21104,-6.21104
238,-6.00761,-6.00761,-5.00761,-6.00761
239,-5.90138,-5.90138,-5.90138,-4.90138
240,-5.98811,-5.98811,-5.98811,-4.98811
241,-4.56921,-4.43022,-4.77998,-4.86062
242,-5.59083,-5.72478,-4.9374,-6.01849
244,-4.79445,-6.84176,-5.19322,-6.84176
253,-4.992,-4.92256,-4.27035,-4.41533
254,-4.64509,-4.84863,-4.65959,-4.74151
255,-6.95218,-5.95218,-4.89107,-5.17667
258,-6.01258,-6.01258,-6.01258,-5.01258
259,-6.55233,-6.55233,-6.55233,-5.55233
261,-4.56089,-4.40722,-4.42005,-4.56447
264,-4.05907,-3.99058,-4.59839,-4.24932
268,-4.564,-4.49288,-4.24099,-4.01828
273,-4.19438,-4.0998,-4.59489,-4.59898
274,-3.19248,-3.26948,-4.08616,-4.29217
278,-7.11116,-6.11116,-7.11116,-7.11116
280,-6.15462,-6.15462,-6.15462,-6.15462
285,-3.78777,-3.71427,-3.79639,-3.6894
286,-4.30833,-3.77147,-4.24488,-4.28048
287,-4.85805,-4.89254,-5.0697,-4.93871
288,-4.31944,-4.95743,-6.83452,-6.83452
289,-4.69553,-4.83677,-5.06506,-5.15441
290,-6.02545,-6.02545,-6.02545,-5.02545
293,-6.02793,-6.02793,-5.02793,-6.02793
295,-4.12597,-4.42442,-4.91181,-5.01666
296,-4.70864,-4.48296,-4.21608,-4.19763
298,-5.04056,-4.91463,-4.72125,-4.81756
299,-5.95925,-5.95925,-4.95925,-5.95925
320,-3.5227,-3.57439,-3.95743,-3.91913
321,-3.08542,-3.16196,-3.78082,-3.77845
323,-4.33168,-4.42808,-5.08012,-5.09488
325,-6.21444,-6.21444,-6.21444,-5.21444
326,-3.67466,-3.42076,-4.32769,-4.32884
328,-5.8409,-4.8409,-5.8409,-5.8409
330,-7.53248,-7.53248,-5.00791,-4.6473
331,-4.65989,-6.48081,-5.48081,-6.48081
333,-4.95772,-4.75699,-6.09755,-6.09755
339,-7.54749,-7.54749,-4.95607,-4.77859
343,-4.26226,-3.91582,-5.19134,-5.61553
344,-5.47782,-4.84881,-6.36918,-6.27968
345,-1.54274,-1.19722,-1.94445,-1.9125
346,-3.44746,-3.76016,-3.85135,-3.90804
347,-4.94226,-4.97266,-4.97848,-4.5943
348,-4.90616,-4.86548,-5.63129,-6.01058
350,-4.56243,-4.59063,-6.25179,-6.25179
351,-4.69169,-5.69169,-5.69169,-5.69169
352,-4.86088,-4.66368,-6.62735,-6.62735
356,-4.41136,-4.55299,-6.17546,-6.17546
358,-3.7284,-3.53186,-4.4589,-4.48463
359,-4.94417,-5.48681,-4.94228,-4.78314
361,-4.91682,-4.79266,-4.96473,-4.75888
362,-6.02972,-6.02972,-5.02972,-6.02972
363,-4.69811,-6.20828,-5.20828,-6.20828
368,-4.68139,-4.73952,-3.35073,-3.20533
370,-3.75042,-3.69423,-3.48935,-3.26926
371,-3.13339,-3.28283,-3.46764,-3.50902
378,-3.39257,-3.59684,-3.54704,-3.52132
383,-6.03389,-6.03389,-5.03389,-6.03389
389,-3.90405,-3.87218,-4.38875,-4.48628
396,-7.73435,-7.73435,-7.73435,-6.73435
398,-4.65476,-4.91828,-4.78217,-4.9581
402,-4.23088,-4.188,-4.62314,-4.73849
404,-5.55706,-5.30983,-4.79714,-5.02108
406,-4.56835,-4.5203,-5.08484,-5.06112
410,-5.91568,-5.91568,-4.91568,-5.91568
412,-4.97368,-5.97368,-4.91452,-5.97368
416,-4.87787,-5.87787,-5.87787,-5.87787
418,-3.75738,-3.82354,-4.75245,-4.76568
419,-4.81109,-6.15457,-5.15457,-6.15457
426,-4.18332,-4.15242,-5.71796,-5.47252
428,-6.00513,-6.00513,-6.00513,-5.00513
430,-5.93949,-5.93949,-4.93949,-5.93949
436,-4.67013,-4.63096,-6.09377,-6.09377
441,-4.9029,-4.90225,-4.95652,-5.02174
443,-4.88601,-4.79403,-4.93475,-4.89508
449,-4.72886,-5.13601,-6.0153,-5.13257
451,-4.92896,-4.90155,-5.00481,-4.91932
452,-4.72911,-4.58331,-4.78549,-4.38646
453,-4.92376,-5.08058,-4.66555,-4.63753
459,-4.74512,-4.82701,-4.90753,-4.84212
460,-5.11557,-4.95973,-5.06353,-5.04634
461,-3.22469,-3.41477,-3.7013,-3.54377
462,-2.0375,-2.20843,-2.45493,-2.46066
464,-5.40189,-4.95276,-4.73526,-5.13903
467,-4.88856,-6.36404,-5.36404,-5.04671
478,-3.22594,-2.91721,-3.1841,-3.18832
479,-3.32364,-3.32634,-4.39307,-4.94342
480,-4.53743,-4.58614,-4.45175,-4.50952
481,-3.78704,-3.96866,-3.49108,-3.39259
483,-3.85075,-3.86644,-4.01834,-4.02312
487,-4.02173,-4.09373,-4.51518,-4.58425
490,-5.98158,-5.98158,-5.98158,-4.98158
491,-5.09722,-4.3642,-6.67447,-5.29004
493,-3.92212,-4.07501,-4.03361,-3.97517
495,-1.65966,-1.78575,-2.03491,-2.01308
496,-4.70718,-4.98302,-6.31294,-6.31294
498,-4.93868,-4.29872,-6.78906,-6.78906
503,-5.33036,-4.96196,-4.04036,-4.32941
504,-5.15035,-5.21481,-4.30608,-4.45912
505,-4.51009,-4.41099,-4.23608,-4.17466
506,-4.09093,-4.09855,-4.56424,-4.37091
509,-5.98587,-5.98587,-4.98587,-5.98587
511,-5.99329,-5.99329,-4.99329,-5.99329
512,-4.80248,-4.76245,-4.88997,-4.86543
513,-5.22664,-5.17779,-5.03155,-5.47524
517,-4.41546,-4.06597,-3.61144,-3.56354
518,-3.60484,-3.73794,-3.68102,-3.54242
519,-4.08646,-4.14544,-4.14475,-4.00357
521,-4.25335,-4.27096,-3.77157,-3.94687
522,-5.85786,-4.85786,-5.85786,-5.85786
523,-4.58178,-5.58178,-5.58178,-5.58178
543,-4.50375,-4.42765,-3.42561,-3.44453
546,-4.63751,-5.63751,-5.63751,-5.63751
566,-3.36699,-3.45312,-3.36167,-3.32706
575,-5.94727,-5.94727,-4.94727,-5.94727
579,-4.48851,-4.38444,-5.41431,-5.40245
580,-6.19206,-6.19206,-6.19206,-5.19206
582,-4.53049,-5.53049,-5.53049,-5.53049
586,-5.83418,-5.83418,-5.83418,-4.83418
592,-4.68965,-4.81726,-5.61656,-5.58962
